Region,Symbol,Name,Price,Score,RSI14,RVol,BBW,Flags,Link
US,TDG,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TDG
US,TMO,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TMO
US,TMUS,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TMUS
US,TPL,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TPL
US,TPR,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TPR
US,TRGP,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TRGP
US,TRMB,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TRMB
US,TROW,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TROW
US,TRV,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TRV
US,TSCO,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TSCO
US,TSN,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TSN
US,TT,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TT
US,TTD,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TTD
US,TTWO,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TTWO
US,TXN,,60.45,80,54.21,2.6,0.09695711584123555,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI neutral-bullisch; Volumen: RVol > 2; Muster: nahe 52W-High,https://finance.yahoo.com/quote/TXN
US,LVS,,272.99,75,58.15,0.02,0.08112140884389245,Trend: EMA-Stacking OK; Volatilität: Squeeze; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/LVS
US,INVH,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/INVH
US,IP,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/IP
US,IQV,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/IQV
US,IR,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/IR
US,IRM,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/IRM
US,ISRG,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/ISRG
US,IT,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/IT
US,ITW,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/ITW
US,IVZ,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/IVZ
US,J,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/J
US,JBHT,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/JBHT
US,JBL,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/JBL
US,JCI,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/JCI
US,JKHY,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/JKHY
US,JNJ,,963.5,65,66.97,0.21,0.1495390170492006,Trend: EMA-Stacking OK; Volatilität: leicht komprimiert; Momentum: RSI Pre-Breakout-Zone; Muster: nahe 52W-High,https://finance.yahoo.com/quote/JNJ
